Department for Transport statistics,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,
Table TAXI0104 [2013 data],,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2013 1",,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,Number
,,,,,Licensed taxis and taxi drivers,,,,,Private hire vehicles (PHVs),,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis 4,"Other 
taxis 4","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs 5,"Vehicle licences 
issued","Operator 
licences 
issued",PHV only Licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
E07000087,,,Fareham,,9,221,230,246,,0,61,9,24,,27,297,291
E07000088,,,Gosport,,17,39,56,58,,2,72,11,79,,41,178,128
E07000089,,,Hart,,4,157,161,79,,0,83,35,66,,136,281,244
E07000090,,,Havant,,7,33,40,0,,23,460,51,0,,499,499,500
E07000091,,,New Forest,,38,86,124,0,,34,268,99,0,,538,538,392
E07000092,,,Rushmoor,,153,0,153,118,,1,69,24,67,,59,244,222
E07000093,,,Test Valley,,12,24,36,25,,0,143,64,118,,147,290,179
E07000094,,,Winchester,,68,46,114,0,,0,150,52,123,,148,271,264
E10000030,,Surrey,,,249,"1,000","1,249",354,,117,"2,843",445,"2,842",,"1,353","4,549","4,092"
E07000207,,,Elmbridge,,0,145,145,0,,1,416,69,371,,130,501,561
E07000208,,,Epsom and Ewell,,58,0,58,64,,21,309,35,380,,0,444,367
E07000209,,,Guildford,,85,55,140,0,,18,281,53,290,,212,502,421
E07000210,,,Mole Valley,,10,104,114,0,,1,91,34,0,,237,237,205
E07000211,,,Reigate and Banstead,,22,59,81,0,,30,755,62,986,,125,"1,111",836
E07000212,,,Runnymede,3,0,134,134,134,,..,106,25,53,,40,227,240
E07000213,,,Spelthorne,,3,75,78,0,,20,132,23,132,,71,203,210
E07000214,,,Surrey Heath,,4,88,92,0,,3,70,23,82,,115,197,162
E07000215,,,Tandridge,,3,129,132,156,,1,73,31,73,,0,229,205
E07000216,,,Waverley,,5,161,166,0,,1,65,35,46,,210,256,231
E07000217,,,Woking,,59,50,109,0,,21,545,55,429,,213,642,654
E06000035,,Medway,,,9,425,434,480,,13,181,28,258,,0,738,615
E10000016,,Kent,,,434,"1,360","1,794","1,173",,..,"1,789",525,"1,639",,"1,484","4,296","3,583"
E07000105,,,Ashford,,18,57,75,0,,0,111,47,178,,188,366,186
E07000106,,,Canterbury,,163,89,252,226,,..,169,50,239,,50,515,421
E07000107,,,Dartford,,87,0,87,76,,2,128,19,126,,49,251,215
E07000108,,,Dover,,10,59,69,0,,16,117,34,0,,241,241,186
E07000109,,,Gravesham,,4,222,226,0,,1,54,19,30,,171,201,280
E07000110,,,Maidstone,,48,0,48,41,,0,223,70,248,,51,340,271
E07000111,,,Sevenoaks,,4,199,203,272,,10,88,39,81,,0,353,291
E07000112,,,Shepway,,15,253,268,270,,..,24,51,51,,27,348,292
E07000113,,,Swale,,40,124,164,0,,7,49,26,0,,397,397,213
E07000114,,,Thanet,,28,80,108,120,,19,442,40,452,,0,572,550
E07000115,,,Tonbridge and Malling,,1,189,190,168,,15,245,76,234,,54,456,435
E07000116,,,Tunbridge Wells,,16,88,104,0,,2,139,54,0,,256,256,243
E10000032,,West Sussex,,,160,649,809,620,,..,"1,376",240,"1,608",,397,"2,625","2,185"
E07000223,,,Adur,,11,62,73,95,,0,99,16,104,,0,199,172
E07000224,,,Arun,,5,289,294,0,,..,30,13,0,,338,338,324
E07000225,,,Chichester,,46,0,46,34,,18,189,55,221,,13,268,235
E07000226,,,Crawley,,47,75,122,163,,1,536,24,661,,0,824,658
