Department for Transport statistics,,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,,
Table TAXI0104,,,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2017 1",,,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,,
,,,,,Licensed taxis and taxi drivers,,,,,Licensed private hire vehicles (PHVs) and drivers,,,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis ,"Other 
taxis ","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs,"Other 
PHVs ","Total 
PHVs","Operator 
licences 
issued",PHV only licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
,,,,,,,,,,,,,,,,,,
E07000084,,,Basingstoke and Deane,,85,0,85,0,,3,347,350,78,358,,90,448,435
E07000085,,,East Hampshire,,1,98,99,0,,106,116,222,40,23,,357,380,321
E07000086,,,Eastleigh,,6,99,105,112,,47,395,442,49,490,,0,602,547
E07000087,,,Fareham,,4,215,219,161,,0,73,73,15,70,,78,309,292
E07000088,,,Gosport,,30,44,74,53,,0,111,111,27,103,,58,214,185
E07000089,,,Hart,,2,205,207,152,,0,68,68,34,36,,63,251,275
E07000090,,,Havant,,6,34,40,0,,13,685,698,61,0,,734,734,738
E07000091,,,New Forest,,41,88,129,0,,24,286,310,86,0,,669,669,439
E07000092,,,Rushmoor,,132,0,132,82,,1,103,104,22,93,,94,269,236
E07000093,,,Test Valley,,18,25,43,0,,2,202,204,80,0,,294,294,247
E07000094,,,Winchester,,73,46,119,0,,0,159,159,54,128,,155,283,278
E10000030,,Surrey,,,272,"1,148","1,420",203,,135,"2,779","2,914",507,"3,090",,"1,639","4,932","4,334"
E07000207,,,Elmbridge,,4,135,139,0,,1,247,248,61,287,,166,453,387
E07000208,,,Epsom and Ewell,,59,0,59,50,,30,390,420,50,500,,20,570,479
E07000209,,,Guildford,,48,129,177,0,,10,321,331,51,347,,198,545,508
E07000210,,,Mole Valley,,17,92,109,0,,0,77,77,30,0,,215,215,186
